,er_sample_name,measurement_step_max,specimen_comp_name
0,PI32-1,400.0,MT
1,PI32-1,400.0,MT
2,PI32-2,350.0,MT
3,PI32-2,350.0,MT
4,PI32-3,250.0,MT
5,PI32-3,250.0,MT
6,PI32-4,250.0,MT
7,PI32-4,250.0,MT
8,PI32-5,275.0,MT
9,PI32-5,275.0,MT
10,PI32-6,325.0,MT
11,PI32-6,325.0,MT
12,PI32-7,275.0,MT
13,PI32-7,275.0,MT
14,PI32-8,250.0,MT
15,PI32-8,250.0,MT
16,PI32-9,250.0,MT
17,PI32-9,250.0,MT
18,PI33-1,325.0,MT
19,PI33-1,325.0,MT
20,PI33-2,350.0,MT
21,PI33-2,350.0,MT
22,PI33-3,350.0,MT
23,PI33-3,350.0,MT
24,PI33-5,350.0,MT
25,PI33-5,350.0,MT
26,PI33-6,300.0,MT
27,PI33-6,300.0,MT
28,PI34-3,250.0,MT
29,PI34-3,250.0,MT
